id,languages,classifier,clfType,fileType
28457823,"['javascript', 'css', 'html', 'shell']",JS-CSS-HTML*_Shell*_JavaScript*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
11730342,"['javascript', 'typescript', 'html', 'css', 'shell']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
10270250,"['javascript', 'html', 'css', 'c++', 'typescript', 'c', 'shell', 'python']",C-C++_Shell*_JavaScript*_C++-JavaScript,FFI_IMI,"['.c', '.cpp', '.cpp', '.cc', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
2126244,"['javascript', 'css', 'html', 'shell']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
291137,"['shell', 'python', 'ruby']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
2325298,"['c', 'c++', 'objective-c', 'shell', 'python']",C-Python_Java-C_C-C++_Python*_Shell*,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.c', '.py', '.sh', '.bsh', '.zsh', '.py']"
29028775,"['javascript', 'java', 'c++', 'objective-c', 'python', 'ruby', 'shell', 'html', 'c', 'css']",Ruby*_Java-C_JavaScript*_Java*_C-C++_C++-Objective-C_C++-JavaScript_Shell*,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.mm', '.cpp', '.cc', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.java', '.rb']"
9384267,"['c++', 'typescript', 'javascript', 'python', 'objective-c', 'html', 'shell', 'css', 'c']",JavaScript*_C-C++_C++-Objective-C_C++-JavaScript_Shell*,FFI_IMI,"['.c', '.cpp', '.mm', '.cpp', '.cc', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
23088740,"['javascript', 'typescript', 'html']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
23096959,"['go', 'html', 'c', 'shell', 'javascript', 'python', 'c++']",Ruby-Go_JavaScript-Go_JavaScript*_C-C++_C-Go_Python*_Shell*_Go*,FFI_IMI,"['.c', '.cpp', '.go', '.go', '.go', '.go', '.py', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
27193779,"['javascript', 'c++', 'python', 'c', 'html', 'shell']",C-Python_Java-C_JavaScript*_C-C++_C++-JavaScript_Python*_Shell*,FFI_IMI,"['.c', '.cpp', '.cpp', '.cc', '.java', '.c', '.c', '.py', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.py']"
2561582,"['css', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
20580498,"['go', 'python', 'shell', 'c', 'ruby', 'html']",C-Go_Ruby-Go_Shell*_Go*,FFI_IMI,"['.go', '.go', '.sh', '.bsh', '.zsh', '.go']"
3470471,"['javascript', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
1039520,"['python', 'shell']",C-Python,FFI,"['.c', '.py']"
460078,"['javascript', 'html', 'shell', 'php', 'css']",JS-CSS-HTML*_Shell*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
20929025,"['typescript', 'javascript', 'shell']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
1863329,"['php', 'html']",HIT*,HIT,['*']
24195339,"['typescript', 'javascript', 'html', 'python', 'css', 'shell', 'php']",JS-CSS-HTML*_Shell*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
7691631,"['go', 'shell', 'c']",C-Go_Ruby-Go,FFI,"['.go', '.go']"
22790488,"['java', 'html', 'css', 'shell', 'javascript']",JS-CSS-HTML*_Java*_Java-C,FFI_IMI_EBD,"['.java', '.c', '.java', '.html', '.js', '.css']"
23083156,"['javascript', 'typescript', 'html', 'shell']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
167174,"['javascript', 'html', 'php', 'css']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
3678731,"['javascript', 'css', 'html']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
3228505,"['javascript', 'css', 'shell', 'html']",JS-CSS-HTML*_Shell*_JavaScript*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
1861458,"['javascript', 'css', 'html']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
