id,languages,classifier,clfType,fileType
25856,"['ruby', 'javascript']",HIT*,HIT,['*']
71143,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
92869,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
67179,"['objective-c', 'c', 'shell', 'ruby']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
158886,"['java', 'javascript', 'python', 'shell']",HIT*,HIT,['*']
336763,"['c++', 'c', 'java']",Java-C_C-C++,FFI,"['.c', '.cpp', '.java', '.c']"
26,"['ruby', 'javascript']",HIT*,HIT,['*']
246271,"['javascript', 'python']",HIT*,HIT,['*']
6275,"['javascript', 'python', 'ruby', 'c']",Python*_Ruby*,IMI,"['.rb', '.py']"
3010,"['ruby', 'c', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
298018,"['objective-c', 'c', 'javascript']",HIT*,HIT,['*']
484284,"['objective-c', 'c', 'python', 'shell']",Shell*_Python*_C++-Objective-C,FFI_IMI,"['.mm', '.py', '.sh', '.bsh', '.zsh']"
65085,"['javascript', 'ruby']",HIT*,HIT,['*']
859318,"['objective-c', 'c']",HIT*,HIT,['*']
804556,"['javascript', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
16898,"['shell', 'ruby', 'javascript']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
2296,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
346738,"['javascript', 'php']",HIT*,HIT,['*']
36517,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
620669,"['objective-c', 'c']",HIT*,HIT,['*']
463068,"['python', 'javascript']",HIT*,HIT,['*']
1954,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
1205535,"['c++', 'java', 'c']",Java-C_C-C++,FFI,"['.c', '.cpp', '.java', '.c']"
67978,"['ruby', 'javascript']",HIT*,HIT,['*']
694674,"['php', 'javascript']",HIT*,HIT,['*']
318157,"['ruby', 'javascript']",HIT*,HIT,['*']
13960,"['ruby', 'javascript']",HIT*,HIT,['*']
52796,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
237376,"['ruby', 'javascript']",HIT*,HIT,['*']
732488,"['c', 'c++', 'objective-c', 'python']",Java-C_C-C++,FFI,"['.c', '.cpp', '.java', '.c']"
15536,"['ruby', 'javascript']",HIT*,HIT,['*']
281736,"['c++', 'python']",HIT*,HIT,['*']
228144,"['c', 'objective-c']",HIT*,HIT,['*']
218,"['javascript', 'ruby']",HIT*,HIT,['*']
118301,"['javascript', 'ruby', 'shell']",Ruby*_Shell*,IMI,"['.sh', '.bsh', '.zsh', '.rb']"
540012,"['objective-c', 'c']",HIT*,HIT,['*']
