id,readme
446949,
1021622, asynchronous templates for the browser and node js use dust if you want these things async and streaming operation browser and node compatibility extended mustache and ctemplate syntax clean low level api composable templates composable templates  xhr basetemplate and else and main and and xhr title child title and title main child content and main installation  npm install dust to render compiled templates in the browser demo guide 
280943, agile development tool that monitors a directory tree and triggers a user defined action whenever an observed file is modified its most typical use is continuous testing and as such it is a more flexible alternative to autotest watchr is simple to use highly flexible evented listens for filesystem events with native c libs portable linux bsd osx solaris windows fast immediately reacts to file changes most importantly it allows running tests in an environment that is agnostic to web frameworks rails merb sinatra camping invisible test frameworks test and unit minitest rspec test and spec expectations ruby interpreters ruby  ruby  mri jruby rubinius package frameworks rubygems rip on the command line watchr path and to and script file will monitor files in the current directory tree and react to events on those files in accordance with the script the script contains a set of simple rules that map observed files to an action its dsl is a single method watch pattern action watch a regexp pattern matching paths to observe and matchdataobject and commandtorun so for example watch test and test rb and md and system ruby md  will match any test file and run it whenever it is saved a continuous testing script for a basic project could be watch test and test rb and md and system ruby md  watch lib and rb and md and system ruby test and test md  rb which in addition to running any saved test file as above will also run a lib file s associated test this mimics the equivalent autotest behaviour it s easy to see why watchr is so flexible since the whole command is custom the above actions could just as easily call jruby  ruby rubygems  ruby ilib  specrb  rbx  or any combination of these for the sake of comparison autotest runs with and usr and bin and ruby  i lib test rubygems e w test and unit test and testhelper rb test and testwatchr rb each and f and require f locking the environment into ruby  rubygems and test and unit for all tests and remember the scripts are pure ruby so feel free to add methods signal trap calls etc updates to script files are picked up on the fly no need to restart watchr so experimenting is painless the wiki  has more details and examples you might also want to take a look at watchr s own scripts specs watchr   docs watchr  and gem watchr   to get you started gem install watchr if you re on linux and bsd and have the rev  gem installed watchr will detect it and use it automatically this will make watchr evented gem install rev you can get the same evented behaviour on os x by installing ruby fsevent  gem install ruby fsevent redgreen  standalone redgreen eye candy for test results ala autotest phocus  run focused tests when running the whole file and suite is unnecessary autowatchr  provides some autotest like behavior for watchr nestor  continuous testing server for rails
886709, here s what a template written for coffeekup looks like doctype  html head meta charset utf  title title or untitled and a completely plausible website meta name description  content description if description link rel stylesheet  href and css and app css style body font family sans serif header nav section footer display block  script src and js and jquery js coffeescript document ready alert alerts suck body header h title or untitled  nav ul li a href and  home unless path is and li a href and chunky  bacon switch user role when owner  admin li a href and admin  secret stuff when vip li a href and vip  exclusive stuff else li a href and commoners  just stuff div myid myclass anotherclass  style position fixed  p divitis kills inline styling too section a helper function you built and included breadcrumb separator  clickable yes  h let s count to  p i for i in    another hypothetical helper formto post textbox title  label title textbox author  label author submit save footer coffeescript comments not visible in the output document comment html comments p bye one language to rule them all javascript is everywhere thus so is coffeescript servers browsers even databases if extending this to rendering logic and ui structure server and client side is desirable to you coffeekup is your friend more specifically one outstanding language coffeescript is one hell of a clean expressive flexible and powerful language it s hard to find such combination especially if you need it to run in the browser too not yet another specialized language to learn transferable knowledge ftw embed your templates in coffeescript nicely templates are just functions so they don t lose syntax highlighting and syntax checking when embedded in coffeescript apps embed coffeescript in your templates nicely in the same manner you can write the contents of script blocks in coffeescript and keep the highlighting perhaps more significantly the coffeescript compiler doesn t have to be called just to convert these blocks to js as in other templating engines client server consistency the same template language and implementation in node js or the browser easily extendable into a higher level dsl since all elements are just functions it s very easy to define your own custom tags  which will work and look the same as native ones html  ready boring legacy doctypes and elements also available optional auto escaping you can also use the h helper on a case by case basis optional formatting  with line breaks and indentation pick your poison works with both coffeescript and javascript apps coffeekup may not be your best choice in those cases you use divs and and or classes for everything while in coffeekup you can do div id class class  specialized languages often have an even shorter syntax for that for your specific project and team and preferences you think a limited and and or separate language for templating is actually beneficial npm install coffeekup to get the coffeekup command install it globally npm install coffeekup g or to use the latest version git clone git github com mauricemach and coffeekup git cd coffeekup cake build npm link cd and myproject npm link coffeekup ck require coffeekup ck render h you can feed me templates as functions ck render h or strings i am not too picky defining variables template h title form method post  action login  textbox id username textbox id password button title helpers textbox attrs attrs type text attrs name attrs id input attrs ck render template title log in  hardcode helpers precompiling to functions template ck compile template locals yes hardcode zig zag template foo bar  locals ping pong app set view engine  coffee app register coffee  require coffeekup adapters express app get and  req res will render views and index coffee res render index  foo bar get and franks miller  oz  sinatra  zappa render index view index for name in franks coffeekup require coffeekup meryl get and  req resp people bob  alice  meryl resp render layout  content index  context people people meryl run templateext coffee templatefunc coffeekup adapters meryl on the browser script body append templates template foo bar and script command line coffeekup h usage coffeekup options path and to and template coffee js compile template to js function n namespace global object holding the templates default templates w watch watch templates for changes and recompile o output set the directory for compiled html p print print the compiled html to stdout f format apply line breaks and indentation to html output u utils add helper locals currently only render v version display coffeekup version h help display this help message please note that even though all examples are given in coffeescript you can also use their plain javascript counterparts just fine irc coffeekup on irc freenode net latest version tested with node    and coffeescript   
982541, holla is a group chat app the ui is built in a ria fashion i e is totally asynchronous and super fast i ve open sourced it for a book i m writing on building rich internet applications with javascript a webkit based browser safari and chrome is required due to specific css optimizations good examples for sprockets juggernaut  async uploads with progress ruby    bundler bundle install rake db migrate rails server thin
270226, joe is a continuous server that ll run your tests on demand and report their pass and fail status because knowing is half the battle quickstart  rubygems gem install cijoe git clone git and and github com and you and yourrepo git cijoe yourrepo check cijoe h for other options basically you need to run cijoe and hand it the path to a git repo make sure this isn t a shared repo joe needs to own it joe looks for various git config settings in the repo you hand it for instance you can tell joe what command to run by setting cijoe runner git config add cijoe runner rake s test units joe doesn t care about ruby python or whatever as long as the runner returns a non zero exit status on fail and a zero on success everyone is happy need to do some massaging of your repo before the tests run like maybe swapping in a new database yml no problem joe will try to run git and hooks and after reset if it exists before each build phase do it in there just make sure it s executable want to notify irc or email on test pass or failure joe will run git and hooks and build failed or git and hooks and build worked if they exist and are executable on build pass and fail they re just shell scripts put whatever you want in there tip your repo s head will point to the commit used to run the build pull any metadata you want out of that scro warning do not run this against a git repo that has unpushed commits as this will do a hard reset against the github remote and wipe out unpushed changes other branches  want joe to run against a branch other than master no problem git config add cijoe branch deploy  joe runs just one build at the time if you expect concurrent push s to your repo and want joe to build each in a kind of queue just set git config add cijoe buildqueue true joe will save requests while another build runs if more than one push hits joe he just picks the last after finishing the prior  campfire notification is included because it s what we use want joe notify your campfire put this in your repo s git and config campfire token abcd subdomain whatever room awesomeness ssl false or do it the old fashion way cd yourrepo git config add campfire token abcd git config add campfire subdomain github checkin status  want to see how your build s doing without any of this fancy ui crap ping joe for the lowdown joe will return  ok if all is quiet on the western front if joe s busy building or your last build failed you ll get  precondition failed multiple projects  want ci for multiple projects just start multiple instances of joe he can run on any port try cijoe h for more options http auth  worried about people triggering your builds setup http auth git config add cijoe user chris git config add cijoe pass secret github integration  any post to joe will trigger a build if you are hiding joe behind http auth that s okay github knows how to authenticate properly you can find the post receive option under the service hooks subtab of your project s admin tab daemonize  want to run joe as a daemon use nohup nohup cijoe p  repo other ci servers  need more features more notifiers check out one of these bad boys does github use cijoe  screenshots  questions concerns 
2264200, android directionalviewpager  implementation of the compatibility library  viewpager class that supports paging both vertically and horizontally as well as changing between the two at runtime try out the sample application on the android market  example image  for a working implementation of this project see the sample and folder  include the widget in your view com directionalviewpager directionalviewpager android id and id and pager android layoutheight fillparent by default the widget will page horizontally you can alter this behavior by including android orientation vertical in the layout or by calling setorientation directionalviewpager vertical in your code  in your oncreate method or oncreateview for a fragment  bind to a pageradapter implementation directionalviewpager pager directionalviewpager findviewbyid r id pager pager setadapter new testadapter getsupportfragmentmanager including in your project  android directionalviewpager is presented as a standalone jar file it should included in addition to the compatibility library jar you can download the file from the github downloads page  or compile your own by running mvn clean package it will be in the library and target and folder if you are using maven you can easily include the library by specifying it as a dependency dependency groupid com directionalviewpager and groupid version    and version and dependency you must also include the following repository repository id com jakewharton and id and repository developed by  jake wharton jakewharton gmail com copyright  jake wharton copyright  android open source project licensed under the apache license version   the license you may not use this file except in compliance with the license you may obtain a copy of the license at unless required by applicable law or agreed to in writing software distributed under the license is distributed on an as is basis without warranties or conditions of any kind either express or implied see the license for the specific language governing permissions and limitations under the license
179, to install with git mkdir p and library and application support and textmate and bundles cd and library and application support and textmate and bundles git clone git and and github com and drnic and ruby on rails tmbundle git ruby on rails tmbundle osascript e tell app textmate to reload bundles to install without git mkdir p and library and application support and textmate and bundles cd and library and application support and textmate and bundles tar zxf drnic ruby on rails tmbundle tar gz rm drnic ruby on rails tmbundle tar gz mv drnic ruby on rails tmbundle ruby on rails tmbundle osascript e tell app textmate to reload bundles ruby    or greater is required
606710, if you have an issue with a stacktrace and bug report please submit an issue in the issue tracker make sure to include details as to how to reproduce the issue if you have a feature request create an issue on the bug tracker and specifically state that it is a feature request also send an email to the mailing list referencing this feature request discussion on feature requests should be done in the issue tracker if you need general help or want to share what you re using this project in join email the mailing list documentation
1809895, motioncaptcha is a jquery captcha plugin that requires users to sketch the shape they see in the canvas in order to submit a form at the moment it s just a proof of concept no ie support but the next releases will see progressive enhancement and the ability to use this in production environments as a serious captcha alternative don t try to use motioncaptcha v  in production watch and wait for the full release update    for everyone who s been watching my apologies for not updating you sooner the response to motioncatpcha has been amazing and i still have big plans for it but work and other distractions got in the way to everyone who still wants to see motioncatpcha become fully fledged and being used on live sites and apps watch out for a codesmash day in september possibly the th in the meantime please try it out suggest features and report bugs if you want to help out turning this thing into a reality fork away in v  the plugin will use progressive enhancement so that the form uses a standard server side e g php captcha script and then on page load the plugin switches that for the motioncaptcha canvas only if the browser is grown up enough for now here s how it works if you need a step by step guide there s a how to below you manually disable your form by emptying the form s action attribute and placing its value in a hidden input with a specific id you should also put disabled disabled on the submit button for added points you add a few html lines to your form to initialise the motioncaptcha canvas and add the plugin s scripts to your page the user draws the shape and if it checks out the plugin inserts the form s action into the form tag the user can submit the form happy days i know this is going to be unpopular in its current state because you re making it impossible for people to submit the form without javascript or canvas support but who gives a crap it s fun and in future it ll degrade gracefully etc etc in my book all of these people are ace i just borrowed from them and spliced their works into one unholy mess actually it s fairly tidy though i m hoping people will suggest performance improvements try to fix up ie support via excanvas or similar library add a real functionality for a new shape button a shape switcharoo method a combine with a simple php captcha and server side checking script for progressive enhancement by default form is submitted with regular captcha on page load if browser supports javascript and html canvas regular captcha is switched for mighty motioncaptcha and that would be checked on the server instead b see a added mobile support for current functionality should work in android and ios iphones and ipads now a few speed improvements and code cleanups  add the plugin scripts i m using jquery   from the google api but you could load it locally and motioncaptcha is supported down to jquery   link href jquery motioncaptcha   css and script  code the form as usual with a unique id eg mycoolform and set the form action to blank or eg form action id mycoolform method get and post canvas id mc canvas and canvas and div  disable the submit button eg  add a hidden input to the form with the form action as its value give it either a unique id or the id mc action  like so  call the plugin on the form element if you used any other id than mc action for the hidden input you ll just need to pass it to the plugin like this form id motioncaptcha action fairly unique id  and and or if you just used mc action as the hidden input s id form id motioncaptcha  other options are available defaults are shown form id motioncaptcha and and basics action mc action  and and the id of the input containing the form action divid mc  and and if you use an id other than mc for the placeholder pass it in here cssclass mc active  and and this css class is applied to the mc div when the plugin is active canvasid mc canvas  and and the id of the motioncaptcha canvas element  and and an array of shape names that you want motioncaptcha to use shapes triangle  x  rectangle  circle  check  caret  zigzag  arrow  leftbracket  rightbracket  v  delete  star  pigtail   and and these messages are displayed inside the canvas after a user finishes drawing errormsg please try again  successmsg captcha passed   and and this message is displayed if the user s browser doesn t support canvas nocanvasmsg your browser doesn t support canvas try chrome ff safari or ie  and and this could be any html string eg label draw this shit yo and label 
